,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
10,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
第2次AIブームでは、知識表現に関する研究が盛んだった。概念間の意味関係を表現する（ア）も知識表現の1つである。（ア）で重要な関係性として、継承関係を表す（イ）、属性を表す（ウ）、所有関係を表す（エ）などがある。",is-aの関係,hsa-aの関係,be-doの関係,part-ofの関係,4,"選択肢4が正解です。
part-ofの関係とは、意味ネットワークの重要な関係性の1つで、属性関係を表します。例えば、「タイヤ part of 車」といった関係です。

選択肢1：is-aの関係とは、意味ネットワークの重要な関係性の1つで、継承関係を表します。例えば、「人間 is a 哺乳類」といった関係です。
選択肢2：has-aの関係とは、意味ネットワークの重要な関係性の1つで、所有関係を表します。例えば、「車 has a タイヤ」といった関係です。
選択肢3：be-doの関係というものはありません。"
11,人工知能をめぐる動向,"（エ）に最もよく当てはまる選択肢を選んでください。
第2次AIブームでは、知識表現に関する研究が盛んだった。概念間の意味関係を表現する（ア）も知識表現の1つである。（ア）で重要な関係性として、継承関係を表す（イ）、属性を表す（ウ）、所有関係を表す（エ）などがある。",is-aの関係,hsa-aの関係,be-doの関係,part-ofの関係,2,"選択肢2が正解です。
has-aの関係とは、意味ネットワークの重要な関係性の1つで、所有関係を表します。例えば、「車 has a タイヤ」といった関係です。

選択肢1：is-aの関係とは、意味ネットワークの重要な関係性の1つで、継承関係を表します。例えば、「人間 is a 哺乳類」といった関係です。
選択肢3：be-doの関係というものはありません。
選択肢4：part-ofの関係とは、意味ネットワークの重要な関係性の1つで、属性関係を表します。例えば、「タイヤ part of 車」といった関係です。"
12,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
企業や個人が保有している経験や情報などを管理するためのデータベースのことを（ア）という。また、（ア）から答えを導き出す仕組みを（イ）という。",ブロックチェーン,推論エンジン,HMM,知識ベース,4,"選択肢4が正解です。
知識ベースとは、企業や個人が保有している経験や情報などを管理するためのデータベースのことです。

選択肢1：ブロックチェーンとは、データベース技術の1つで、過去に行った全ての取引データを参加者が保有することで、データの改ざんを実質的に不可能にしています
選択肢2：推論エンジンとは、知識ベースから答えを導き出す仕組みのことです。
選択肢3：隠れマルコフモデル（HMM）は、音声認識でよく使われていたモデルで、確率モデルの1つです。"
13,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
企業や個人が保有している経験や情報などを管理するためのデータベースのことを（ア）という。また、（ア）から答えを導き出す仕組みを（イ）という。",ブロックチェーン,推論エンジン,HMM,知識ベース,2,"選択肢2が正解です。
推論エンジンとは、知識ベースから答えを導き出す仕組みのことです。

選択肢1：ブロックチェーンとは、データベース技術の1つで、過去に行った全ての取引データを参加者が保有することで、データの改ざんを実質的に不可能にしています
選択肢3：隠れマルコフモデル（HMM）は、音声認識でよく使われていたモデルで、確率モデルの1つです。
選択肢4：知識ベースとは、企業や個人が保有している経験や情報などを管理するためのデータベースのことです。"
14,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
人間の神経回路を模倣した数理モデルを（ア）という。",Q学習,マルコフ決定過程モデル,ターゲットネットワーク,ニューラルネットワーク,4,"選択肢4が正解です。
ニューラルネットワークとは、人間の神経経路（ニューロン）を模倣したモデルのことです。

選択肢1：Q学習とは、Q値が最も高くなるように行動を学習する手法のことです。
選択肢2：マルコフ決定過程モデルとは、マルコフ性（状態が遷移するとき、過去の状態に依存せず、現在の状態で決定されるという特性）を満たす遷移過程モデルのことです。
選択肢3：ターゲットネットワークとは、DQNにおいて学習の精度を高める方法の1つで、ターゲットになる過去のネットワークを教師のように見立てて学習する手法のことです。"
15,人工知能をめぐる動向,2012年のILSVRCでは、ディープラーニングを用いたモデルで優勝したが、以前のILSVRCで優勝していたモデル及びILSVRCの説明として、最も適切な選択肢を選択してください。,基本的に特徴量は人間が決めていた,全て人間の認識率よりも高いモデルであった,トランスフォーマーを使用したモデルが優勝していた,2012年より前のILSVRCではImageNetを使用していなかった,1,"選択肢1が正解です。
2012年以前は、基本的に特徴量は人間が決めていました。

選択肢2：2012年より前には、一般に人間の認識率よりも高いモデルは存在しませんでした。2015年になり、限定的であるものの、人間の認識率よりも高いモデルが開発されました。
選択肢3：トランスフォーマーは、2017年に発表されたニューラル機械翻訳のモデルです。2012年より前には、トランスフォーマーは発表されていませんでした。
選択肢4：2012年より前にも、ImageNetは使われていました。また、ILSVRCはImageNetを活用して、画像認識の精度を競う大会です。"
16,人工知能をめぐる動向,チェス、将棋、オセロ、囲碁を、探索の組み合わせの数が少ない順から並べると、どのようになるか以下の選択肢から選んでください。,オセロ、チェス、将棋、囲碁,チェス、将棋、囲碁、オセロ,オセロ、チェス、囲碁、将棋,チェス、オセロ、将棋、囲碁,1,"選択肢1が正解です。
オセロの探索の組み合わせの数は約10の60乗、チェスは約10の120乗、将棋は約10の220乗、囲碁は約10の360乗です。

選択肢2：チェスの探索の組み合わせの数は約10の120乗、将棋は約10の220乗、囲碁は約10の360乗、オセロは約10の60乗です。そのため、探索の組み合わせの数は少ない順に並んでいません。
選択肢3：オセロの探索の組み合わせの数は約10の60乗、チェスは約10の120乗、囲碁は約10の360乗、将棋は約10の220乗です。そのため、探索の組み合わせの数は少ない順に並んでいません。
選択肢4：チェスの探索の組み合わせの数は約10の120乗、オセロは約10の60乗、将棋は約10の220乗、囲碁は約10の360乗です。そのため、探索の組み合わせの数は少ない順に並んでいません。"
17,人工知能をめぐる動向,メタデータの説明として、最も適切な選択肢を選択してください。,様々な形式の大量のデータのこと,訓練データ・検証データにテストデータにすべき未知のデータが入ってしまうこと,データの情報が記述されたデータのこと,個人情報取扱事業者に開示・修正・追加・削除などの権限がある個人データのこと,3,"選択肢3が正解です。
メタデータとは、データの情報が記述されたデータのことを言います。例えば、「太宰治」に対して「著者」というデータを付与されている場合、「著者」がメタデータになります。

選択肢1：ビッグデータの説明です。ビッグデータとは、様々な形式の大量のデータのことです。一般的に、ビッグデータは、量・速度・多様性の特性を持っています。
選択肢2：データリーケージの説明です。データリーケージとは、訓練データ・検証データにテストデータにすべき未知のデータ（本来得られるはずのないデータ）が入ってしまうことを言います。
選択肢4：保有個人データの説明です。保有個人データとは、個人情報取扱事業者に開示・修正・追加・削除などの権限がある個人データのことです。"
18,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
探索などを活用してロボットの行動計画を作成することを（ア）といい、前提条件、行動、結果を組み合わせて記述していく（イ）が有名である。",方策,バギング,プランニング,エッジAI,3,"選択肢3が正解です。
プランニングとは、探索などを活用してロボットの行動計画を作成することです。

選択肢1：方策とは、エージェントの行動基準のことを言います。方策には、ε-greedy方策やUCB方策などがあります。
選択肢2：バギングとは、アンサンブル学習のアルゴリズムの1種で、一部のデータを抽出し、複数のモデルを並列的に学習させ、予測精度を向上させる手法のことを言います。
選択肢4：エッジAIとは、エッジデバイス（インターネットに接続された端末）にAIを搭載したもので、端末で推論などを行います。"
19,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
探索などを活用してロボットの行動計画を作成することを（ア）といい、前提条件、行動、結果を組み合わせて記述していく（イ）が有名である。",Cycプロジェクト,CNN,オントロジー,STRIPS,4,"選択肢4が正解です。
STRIPSとは、「前提条件」「行動」「結果」を組み合わせて記述していくプランニングシステムのことです。

選択肢1：第5世代コンピュータとは、1982年から1992年にかけて日本政府によって推進された大型の国家プロジェクトで、人工知能コンピュータの開発を目的とし、およそ540億円の国家予算が投入されました。
選択肢2：CNNとは、畳み込みニューラルネットワークのことで、画像認識の分野に特化したニューラルネットワークです。CNNは、OCR、パターン認識など幅広い分野で使用されています。
選択肢3：オントロジーとは、概念を体系化する学問、知識・情報を定義するための仕様などを意味する用語です。"
20,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
Alpha Goは、（ア）の技術を使っている。",ディープラーニング,ブールフォース,エキスパートシステム,XAI,1,"選択肢1が正解です。
ディープラーニングとは、データの特徴を定量的に表したもの（特徴量）を人工知能が自ら学習する手法のことで、深層学習とも呼ばれています。

選択肢2：ブルートフォースとは、総当たり攻撃、力ずくという意味です。また、全パターンを調べて最適な手を見つけ出すモンテカルロ法はブルートゥースで押し切る方法になります。
選択肢3：エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。
選択肢4：XAIとは、説明可能なAIのことで、推論した結果などのプロセスを人間が理解できる形で提示してくれるAIのことです。"
21,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
人間が持っている大量の一般常識等をコンピュータが獲得することは極めて難しいということを（ア）という。",トイ・プロブレム,知識獲得のボトルネック,ヒューリスティックな知識,みにくいアヒルの子定理,2,"選択肢2が正解です。
知識獲得のボトルネックとは、人間が持っている大量の一般常識・知識をコンピュータが獲得することは極めて難しいことを意味する用語です。

選択肢1：トイ・プロブレムとは、迷路やオセロなどといったルールが決まりきっているような簡単な問題のことをいいます。
選択肢3：ヒューリスティックな知識とは、経験などであらかじめ知っている知識のことを言います。
選択肢4：みにくいアヒルの子定理とは、何らかの仮定がないと分類することは不可能であるという定理のことです。"
22,人工知能をめぐる動向,知識ベースを構築することが困難な理由として不適切な選択肢を選択してください。,専門家の暗黙知を聞き出すことが難しいため,獲得した知識に矛盾が存在するため,知識同士の紐付きが少ないため,常識的な知識を獲得するのが難しいため,3,"選択肢3が正解です。
知識同士の紐付きが少ない方が、知識同士の矛盾が少なくなり、知識ベースを構築しやすいです。一方、専門家の暗黙知を聞き出すことが難しい、獲得した知識に矛盾が存在する、常識的な知識を獲得するのが難しいなどは、知識ベースを構築することが困難な理由の1種です。"
23,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
テリー・ウィノグラードによって開発された（ア）では、「積み木の世界」に存在するブロックなどを英語で指示を与えることで動かすことができる。（ア）の研究成果は、人間が持つ一般常識を全てデータベース化し、人間と同様の推論システムを構築することを目的とする（イ）に引き継がれている。",SHRDLU,AlphaStar,LSTM,N-gram,1,"選択肢1が正解です。
SHRDLUとは、テリー・ウィノグラードによって開発されたシステムで、「積み木の世界」に存在するブロックなどを英語で指示を与えることで動かすことができます。

選択肢2：AlphaStarは、DeepMind社が開発した人工知能で、リアルタイムストラテジーゲーム「StarCraft II（スタークラフト2）」でトッププレイヤーを相手に勝利したモデルです。
選択肢3：LSTMとは、リカレントニューラルネットワーク（RNN）の1種で、勾配消失問題や入力重み衝突・出力重み衝突問題などを回避するために考えられた手法です。また、LSTMブロックと呼ばれる機構を導入することで、時系列情報を保持することができるようになっています。
選択肢4：N-gramとは、任意の文字数で文章を分割する手法のことを言います。1文字で分割する場合はユニグラム、2文字で分割する場合はバイグラム、3文字で分割する場合はトライグラムといいます。"
24,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
テリー・ウィノグラードによって開発された（ア）では、「積み木の世界」に存在するブロックなどを英語で指示を与えることで動かすことができる。（ア）の研究成果は、人間が持つ一般常識を全てデータベース化し、人間と同様の推論システムを構築することを目的とする（イ）に引き継がれている。",プランニング,イライザ（ELIZA）,DENDRAL,Cycプロジェクト,4,"選択肢4が正解です。
Cycプロジェクトとは、人間が持つ一般常識を全てデータベース化し、人間と同様の推論システムを構築することを目的とするプロジェクトのことです。1984年に開始され、現在でも入力作業は続けられています。

選択肢1：プランニングとは、探索などを活用してロボットの行動計画を作成することです。
選択肢2：イライザとは、チャットボット（人工無脳）の元祖となる対話システムです。イライザは、ルールに従って文を返すものでしたが、対話相手が人間だと勘違いする人も存在しました。
選択肢3：DENDRALは、1960年代の人工知能に関するプロジェクトのことで、未知の有機化合物を分析し、有機化学の知識を使って特定する世界初のエキスパートシステムです。エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。"
25,人工知能をめぐる動向,人工知能の技術を導入する上で注意・意識すべきこととして、不適切な選択肢を選択してください。,課題解決のために、人工知能の導入が最適なのかを考える,人工知能の導入が円滑に進むように業務プロセスを見直す,人工知能を導入することで、どのような効果があるのかを推定する,最新技術のディープラーニング技術を優先的に採用する,4,"選択肢4が正解です。
人工知能を導入するときは、ディープラーニング以外にも、機械学習などを検討することが大切です。ディープラーニングよりも機械学習の方が、課題を解決するのに最適な場合があります。

選択肢1：正しい説明です。課題解決のために、人工知能の導入が最適なのかを考えることが大切です。人工知能を導入する以外の方法が最適な場合があります。
選択肢2：正しい説明です。人工知能の導入が円滑に進むように業務プロセスを見直すことも大切です。
選択肢3：正しい説明です。人工知能を導入することで、どのような効果があるのかを考えることも大切です。状況によってはAIを導入しても、効果がない場合があります。"
26,人工知能分野の問題,シンギュラリティについて、発言者と発言の組み合わせとして、間違っている選択肢を選択してください。,イーロン・マスク：終末論的構想は馬鹿げている,レイ・カーツワイル：シンギュラリティは2045年に到来する,スティーブン・ホーキング：AIの完成は人間の終焉を意味するかもしれない,ヒューゴ・デ・ガリス：シンギュラリティは21世紀の後半に到来する,1,"選択肢1が正解です。
イーロン・マスクは、シンギュラリティの到来に危機感を持っていると発言しています。また、終末論的構想は馬鹿げていると発言したのは、オレン・エツィオーニです。

選択肢2：正しい組み合わせです。レイ・カーツワイルは、「シンギュラリティは2045年に到来する」と発言しています。
選択肢3：正しい組み合わせです。スティーブン・ホーキングは、「AIの完成は人間の終焉を意味するかもしれない」と発言しています。
選択肢4：正しい組み合わせです。ヒューゴ・デ・ガリスは、「シンギュラリティは21世紀の後半に到来する」と発言しています。"
27,人工知能分野の問題,"（ア）に最もよく当てはまる選択肢を選んでください。
機械翻訳の研究は長年行われている。1970年代後半は（ア）が一般的だったが、1990年以降は（イ）が一般的になった。しかし、文章を理解していないため、実用レベルではなかった。現在は、ニューラルネットワークを活用した（ウ）が台頭してきた。（ウ）は、精度が高く、実務でも使用されるようになってきた。",ニューラル機械翻訳,ルールベース機械翻訳,ディープラーニング機械翻訳,統計的機械翻訳,2,"選択肢2が正解です。
ルールベース機械翻訳とは、1970年代後半に使われていた機械翻訳の手法です。辞書を使って文章を翻訳するため、辞書を作成するために多くの時間が必要になります。

選択肢1：ニューラル機械翻訳とは、ニューラルネットワークを活用した機械翻訳の手法です。精度も高く、実務でも使用されるようになってきました。
選択肢3：ディープラーニング機械翻訳という用語はありません。
選択肢4：統計的機械翻訳とは、1990年代から使われるようになった機械翻訳の手法です。コーパスを使用することで、精度は一気に改善されたものの、実務で使用できるレベルにはなりませんでした。"
28,人工知能分野の問題,"（イ）に最もよく当てはまる選択肢を選んでください。
機械翻訳の研究は長年行われている。1970年代後半は（ア）が一般的だったが、1990年以降は（イ）が一般的になった。しかし、文章を理解していないため、実用レベルではなかった。現在は、ニューラルネットワークを活用した（ウ）が台頭してきた。（ウ）は、精度が高く、実務でも使用されるようになってきた。",ニューラル機械翻訳,ルールベース機械翻訳,ディープラーニング機械翻訳,統計的機械翻訳,4,"選択肢4が正解です。
統計的機械翻訳とは、1990年代から使われるようになった機械翻訳の手法です。コーパスを使用することで、精度は一気に改善されたものの、実務で使用できるレベルにはなりませんでした。

選択肢1：ニューラル機械翻訳とは、ニューラルネットワークを活用した機械翻訳の手法です。精度も高く、実務でも使用されるようになってきました。
選択肢2：ルールベース機械翻訳とは、1970年代後半に使われていた機械翻訳の手法です。辞書を使って文章を翻訳するため、辞書を作成するために多くの時間が必要になります。
選択肢3：ディープラーニング機械翻訳という用語はありません。"
29,人工知能分野の問題,"（ウ）に最もよく当てはまる選択肢を選んでください。
機械翻訳の研究は長年行われている。1970年代後半は（ア）が一般的だったが、1990年以降は（イ）が一般的になった。しかし、文章を理解していないため、実用レベルではなかった。現在は、ニューラルネットワークを活用した（ウ）が台頭してきた。（ウ）は、精度が高く、実務でも使用されるようになってきた。",ニューラル機械翻訳,ルールベース機械翻訳,ディープラーニング機械翻訳,統計的機械翻訳,1,"選択肢1が正解です。
ニューラル機械翻訳とは、ニューラルネットワークを活用した機械翻訳の手法です。精度も高く、実務でも使用されるようになってきました。

選択肢2：ルールベース機械翻訳とは、1970年代後半に使われていた機械翻訳の手法です。辞書を使って文章を翻訳するため、辞書を作成するために多くの時間が必要になります。
選択肢3：ディープラーニング機械翻訳という用語はありません。
選択肢4：統計的機械翻訳とは、1990年代から使われるようになった機械翻訳の手法です。コーパスを使用することで、精度は一気に改善されたものの、実務で使用できるレベルにはなりませんでした。"
30,人工知能分野の問題,"（ア）に最もよく当てはまる選択肢を選んでください。
強いAIが実現可能かどうかという議論は、人工知能を研究してる学者以外でも行われている。例えば、（ア）は『皇帝の新しい心』という著書の中で強いAIは実現できないと主張している。",ジェフリー・ヒントン,アラン・チューリング,クロード・シャノン,ロジャー・ペンローズ,4,"選択肢4が正解です。
ロジャー・ペンローズは、イギリスの数理物理学者です。また、ロジャー・ペンローズは、『皇帝の新しい心』という著書の中で強いAIは実現できないと主張しています。

選択肢1：ジェフリー・ヒントンは、イギリス生まれのコンピュータ科学の学者です。また、彼が率いるSuperVisionは、ILSVRC2012で優勝しました。
選択肢2：アラン・チューリングは、イギリスの数学者です。また、人工知能の概念を最初に考案した人物とされています。
選択肢3：クロード・シャノンは、アメリカの電気工学者・数学者であり、情報理論の父と呼ばれています。"
31,機械学習の具体的手法,"（ア）に最もよく当てはまる選択肢を選んでください。
サポートベクターマシンにおいて、マージン内側に1つもデータが入らないようにマージンの最大化を行うことを（ア）、マージン内側に一部のデータが入ることを許容しマージンの最大化を行うことを（イ）という。また、どの程度、誤分類を許容するのかを調整する変数を（ウ）という。",ソフトクラスタリング,ハードクラスタリング,ソフトマージン,ハードマージン,4,"選択肢4が正解です。
ハードマージンとは、誤分類を禁止しながらマージンの最大化を行うことです。

選択肢1：ソフトクラスタリングとは、各データが1つ以上のクラスタに所属することを許すクラスタリングのことです。
選択肢2：ハードクラスタリングとは、各データが1つのクラスタに所属するようにクラスタリングを行うことです。
選択肢3：ソフトマージンとは、誤分類を許容しながらマージンの最大化を行うことです。"
32,機械学習の具体的手法,"（イ）に最もよく当てはまる選択肢を選んでください。
サポートベクターマシンにおいて、マージン内側に1つもデータが入らないようにマージンの最大化を行うことを（ア）、マージン内側に一部のデータが入ることを許容しマージンの最大化を行うことを（イ）という。また、どの程度、誤分類を許容するのかを調整する変数を（ウ）という。",ソフトクラスタリング,ハードクラスタリング,ソフトマージン,ハードマージン,3,"選択肢3が正解です。
ソフトマージンとは、誤分類を許容しながらマージンの最大化を行うことです。

選択肢1：ソフトクラスタリングとは、各データが1つ以上のクラスタに所属することを許すクラスタリングのことです。
選択肢2：ハードクラスタリングとは、各データが1つのクラスタに所属するようにクラスタリングを行うことです。
選択肢4：ハードマージンとは、誤分類を禁止しながらマージンの最大化を行うことです。"
