,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
10,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
SHRDLUは（ア）によって開発されたシステムである。",スティーブン・ハーナッド,松尾豊,ジョン・サール,テリー・ウィノグラード,4,"選択肢4が正解です。
テリー・ウィノグラードは、計算機科学者であり、SHRDLUを開発した人物です。

選択肢1：スティーブン・ハーナッドは、ハンガリー生まれの認知科学者であり、シンボルグラウンディング問題について議論を行いました。
選択肢2：松尾豊とは、日本の工学者で、日本ディープラーニング協会理事長です。
選択肢3：ジョン・サールは、アメリカの哲学者で、強いAIと弱いAIや中国語の部屋という思考実験を提案しました。"
11,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
未知の有機化合物を分析し、有機化学の知識を使って特定する世界初のエキスパートシステムを（ア）という。",Cycプロジェクト,PARRY,DENDRAL,FCN,3,"選択肢3が正解です。
DENDRALは、1960年代の人工知能に関するプロジェクトのことで、未知の有機化合物を分析し、有機化学の知識を使って特定する世界初のエキスパートシステムです。エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。

選択肢1：Cycプロジェクトとは、人間が持つ一般常識を全てデータベース化し、人間と同様の推論システムを構築することを目的とするプロジェクトのことです。1984年に開始され、現在でも入力作業は続けられています。
選択肢2：PARRYとは、ELIZAと同時期にケネス・コルビーによって開発されたチャットボットです。また、ELIZAと会話をしたことがあり、会話の記録も残っています。
選択肢4：FCN（完全畳み込みネットワーク）は、セマンティックセグメンテーションの代表的な手法の1つで、CNNで使われている全結合層を畳み込み層に置き換えたネットワークのことです。FCN（完全畳み込みネットワーク）では、畳み込み層によって小さくなった特徴マップを入力画像サイズ・解像度まで戻す処理（アンサンプリング）を行っています。"
12,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
オントロジーの研究に関連して、（ア）や（イ）などの研究も行われている。（ア）とはWebページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のことであり、（イ）とはウェブ上でコンピュータ処理に適したデータを公開・共有するための技術のことである。",セマンティック・ウェブ,ウェブマイニング,LOD,イテレーション,1,"選択肢1が正解です。
セマンティック・ウェブとは、Webページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のことを言います。

選択肢2：ウェブマイニングとは、ウェブ上にある膨大なデータを分析して有益な情報を取り出す手法のことです。
選択肢3：LODとは、ウェブ上でコンピュータ処理に適したデータを公開・共有するための技術のことです。
選択肢4：イテレーションとは、計算を何度も繰り返すことを意味し、パラメータ（重み）を更新した回数のことを言います。パラメータを20回更新した場合、イテレーション数は、20になります。"
13,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
オントロジーの研究に関連して、（ア）や（イ）などの研究も行われている。（ア）とはWebページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のことであり、（イ）とはウェブ上でコンピュータ処理に適したデータを公開・共有するための技術のことである。",セマンティック・ウェブ,ウェブマイニング,LOD,イテレーション,3,"選択肢3が正解です。
LODとは、ウェブ上でコンピュータ処理に適したデータを公開・共有するための技術のことです。

選択肢1：セマンティック・ウェブとは、Webページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のことを言います。
選択肢2：ウェブマイニングとは、ウェブ上にある膨大なデータを分析して有益な情報を取り出す手法のことです。
選択肢4：イテレーションとは、計算を何度も繰り返すことを意味し、パラメータ（重み）を更新した回数のことを言います。パラメータを20回更新した場合、イテレーション数は、20になります。"
14,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
ボードゲームの序盤は打てる手が多いため、全ての手を打って、どのような手が最も勝率が高いのかを計算することは難しい。一方、ゲームの終盤になると打てる手は少なくなるため、最適な手を計算することができるようになる。以上のことから、ゲームがある局面まで進むと、ランダムに手を打ち続け終局させるというシミュレーションを何度も行い、最適な手を計算する（ア）が有効である。また、終局させることを（イ）という。しかし、（ア）は、人間の思考と異なり、（ウ）で押し切る方法であるため、探索数が増えてしまうと上手くいかなくなってしまう。DeepMind社が開発した人工知能の囲碁プログラム（エ）は今までの戦略と異なり、ディープラーニング技術を活用し、人間の思考方法を実現し、囲碁のプロ棋士に勝利した。",モーメンタム法,モンテカルロ法,αβ法,バギング,2,"選択肢2が正解です。
モンテカルロ法とは、何度もシミュレーションを行ったり、乱数を使用したりして、近似的な答えを導き出す手法のことです。

選択肢1：モーメンタム法とは、鞍点問題に対応するために考えられた手法で、慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ手法のことです。
選択肢3：αβ法とは、Mini-Max法による探索を効率化するために、特定の手（ノード）を切り捨て、探索する量を減らす手法のことを言います。
選択肢4：バギングとは、アンサンブル学習のアルゴリズムの1種で、一部のデータを抽出し、複数のモデルを並列的に学習させ、予測精度を向上させる手法のことを言います。"
15,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
ボードゲームの序盤は打てる手が多いため、全ての手を打って、どのような手が最も勝率が高いのかを計算することは難しい。一方、ゲームの終盤になると打てる手は少なくなるため、最適な手を計算することができるようになる。以上のことから、ゲームがある局面まで進むと、ランダムに手を打ち続け終局させるというシミュレーションを何度も行い、最適な手を計算する（ア）が有効である。また、終局させることを（イ）という。しかし、（ア）は、人間の思考と異なり、（ウ）で押し切る方法であるため、探索数が増えてしまうと上手くいかなくなってしまう。DeepMind社が開発した人工知能の囲碁プログラム（エ）は今までの戦略と異なり、ディープラーニング技術を活用し、人間の思考方法を実現し、囲碁のプロ棋士に勝利した。",早期終了,プレイアウト,プルーニング,プラトー,2,"選択肢2が正解です。
プレイアウトとは、終局までプレイすることを言います。

選択肢1：早期終了とは、過学習対策の1つで、汎化誤差が増加し始めたら学習を終了するという手法のことです。汎化誤差とは、学習に使っていないデータに対する予測と正解の誤差のことを言います。
選択肢3：プルーニングとは、モデルを軽量化する代表的な手法で、ニューラルネットワークのユニットの中で重みが小さい接続を削除し、パラメータ数を削除することを言います。パラメータ数が少なくなることで、計算量を減らすことはことはできますが、精度が落ちてしまうデメリットが存在します。
選択肢4：プラトーとは、モデル学習において、学習が停滞してしまう状態のことを言います。停滞状態を抜け出すために考えられた手法として、モーメンタム法などがあります。"
16,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
ボードゲームの序盤は打てる手が多いため、全ての手を打って、どのような手が最も勝率が高いのかを計算することは難しい。一方、ゲームの終盤になると打てる手は少なくなるため、最適な手を計算することができるようになる。以上のことから、ゲームがある局面まで進むと、ランダムに手を打ち続け終局させるというシミュレーションを何度も行い、最適な手を計算する（ア）が有効である。また、終局させることを（イ）という。しかし、（ア）は、人間の思考と異なり、（ウ）で押し切る方法であるため、探索数が増えてしまうと上手くいかなくなってしまう。DeepMind社が開発した人工知能の囲碁プログラム（エ）は今までの戦略と異なり、ディープラーニング技術を活用し、人間の思考方法を実現し、囲碁のプロ棋士に勝利した。",ブルートフォース,ブースティング,プーリング,ファインチューニング,1,"選択肢1が正解です。
ブルートフォースとは、総当たり攻撃、力ずくという意味です。また、全パターンを調べて最適な手を見つけ出すモンテカルロ法はブルートフォースで押し切る方法になります。

選択肢2：ブースティングとは、アンサンブル学習の1つで、一部のデータを抽出し、モデルを直列的に学習させていく手法です。バギングと比較すると、精度が高くなりやすいという特徴はありますが、並列的に学習できないため時間がかかってしまうというデメリットがあります。
選択肢3：プーリングとは、畳み込み層で出力した特徴マップを、ルールに従いデータ量を小さくしていく処理のことを言います。また、プーリングを行う層のことをプーリング層と言います。プーリングは、ダウンサンプリングやサブサンプリングとも呼ばれます。
選択肢4：ファインチューニングとは、学習済みのモデルの一部と新しく追加したモデルを組み合わせたモデルなどのパラメータを微調整することを言います。"
17,人工知能をめぐる動向,"（エ）に最もよく当てはまる選択肢を選んでください。
ボードゲームの序盤は打てる手が多いため、全ての手を打って、どのような手が最も勝率が高いのかを計算することは難しい。一方、ゲームの終盤になると打てる手は少なくなるため、最適な手を計算することができるようになる。以上のことから、ゲームがある局面まで進むと、ランダムに手を打ち続け終局させるというシミュレーションを何度も行い、最適な手を計算する（ア）が有効である。また、終局させることを（イ）という。しかし、（ア）は、人間の思考と異なり、（ウ）で押し切る方法であるため、探索数が増えてしまうと上手くいかなくなってしまう。DeepMind社が開発した人工知能の囲碁プログラム（エ）は今までの戦略と異なり、ディープラーニング技術を活用し、人間の思考方法を実現し、囲碁のプロ棋士に勝利した。",OpenAI Five,AlphaStar,Alpha Go,AlexNet,3,"選択肢3が正解です。
Alpha Goは、Deep Mind社が開発した囲碁専用の人工知能であり、囲碁のプロ棋士に勝利しました。Alpha Goは、ディープラーニングの技術を使用し、人間の思考方法を実現しました。また、モンテカルロ木探索や深層強化学習などの技術も使われています。

選択肢1：OpenAI Fiveは、人工知能を研究する団体であるOpenAIが開発したシステムで、対戦型リアルタイムストラテジーゲーム「Dota 2」の2018年度世界大会覇者OGに勝利しました。
選択肢2：AlphaStarは、DeepMind社が開発した人工知能で、リアルタイムストラテジーゲーム「StarCraft II（スタークラフト2）」でトッププレイヤーを相手に勝利したモデルです。
選択肢4：AlexNetとは、2012年に画像認識の精度を競う大会であるILSVRCにて、圧倒的な精度で優勝したモデルのことです。2012年当時は、画像認識には機械学習が用いられており、特徴量は人間が決めていました。一方、AlexNetではディープラーニング技術が採用されていました。"
18,人工知能をめぐる動向,インタビューシステムに関する説明として、最も適切な選択肢を選択してください。,ユーザーの興味があるものを学習し、興味がありそうな情報を提案するシステム,専門家の暗黙知などを引き出すシステムのこと,知識を管理するシステムのこと,入力されたキーワードをもとに機械的に質問に回答するプログラムのこと,2,"選択肢2が正解です。
インタビューシステムとは、インタビュー形式でヒアリングを行うことです。インタビューを受ける側の暗黙知・経験則を含む知識を、いかに聞き出すのかが重要なポイントになります。

選択肢1：レコメンデーションシステムの説明です。レコメンデーションシステムとは、ユーザーの興味があるものを学習し、興味がありそうな情報を提案するシステムのことです。
選択肢3：ナレッジ管理システムの説明です。ナレッジ管理システムとは、知識を管理するシステムのことで、基本的に推論や判断を行うことはありません。
選択肢4：人工無脳の説明です。人工無脳とは、チャットボットなどと呼ばれるプログラムのことをいいます。あらかじめ質問に対する回答などが設定されており、入力されたキーワードをもとに機械的に質問に回答するプログラムです。"
19,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
ワトソンは、ウィキペディアの情報を（ア）形式で体系化し、それを活用して答えを導き出している。",プランニング,混同行列,報酬成形,ライトウェイト・オントロジー,4,"選択肢4が正解です。
ライトウェイト・オントロジーとは、AIが自動的に情報の関係性を見つけ、知識を体系化しようとする考え方のことです。

選択肢1：プランニングとは、探索などを活用してロボットの行動計画を作成することです。
選択肢2：混同行列とは、二値分類などの結果をまとめた表のことです。
選択肢3：報酬成形とは、目標を達成するために、報酬関数の設計と方策の確認を繰り返し行い、適切な報酬関数を設計することをいいます。"
20,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
ニューラルネットワークを多層化しても、学習効率が上がらないという問題があった。この問題に対して、（ア）を取り入れることで学習精度が向上した。",半教師あり学習,誤差逆伝播法,バギング,スラック変数,2,"選択肢2が正解です。
誤差逆伝播法とは、出力層から入力層にかけて重みを調整していく手法のことです。

選択肢1：半教師あり学習とは、教師なし学習と教師あり学習を組み合わせた学習手法のことです。半教師あり学習では、少量のラベル付きデータで学習し、ラベルが付いていない大量のデータで学習することで、ラベル付きデータを集めるコストを下げることができます。
選択肢3：バギングとは、アンサンブル学習のアルゴリズムの1種で、一部のデータを抽出し、複数のモデルを並列的に学習させ、予測精度を向上させる手法のことを言います。
選択肢4：スラック変数とは、ソフトマージンにおいて、誤分類をどの程度許容するのか調整する変数のことです。"
21,人工知能をめぐる動向,part-ofの関係として、最も適切な選択肢を選択してください。,自転車 part of サドル,哺乳類 part of 人間,車 part of タイヤ,木 part of 森,4,"選択肢4が正解です。
part-aの関係とは、意味ネットワークの重要な関係性の1つで、属性関係（一部であるの関係）を表します。例えば、「木 part of 森」といった関係です。（木は森の一部である）

選択肢1：自転車とサドルの関係性は、属性関係（一部であるの関係）ではありません。例えば、「自転車はサドルの一部である」とはいいません。
選択肢2：哺乳類と人間の関係性は、属性関係（一部であるの関係）ではありません。例えば、「哺乳類は人間の一部である」とはいいません。
選択肢3：車とタイヤの関係性は、属性関係（一部であるの関係）ではありません。例えば、「車はタイヤの一部である」とはいいません。"
22,人工知能をめぐる動向,東ロボくんの説明として、最も不適切な選択肢を選択してください。,プロジェクトは2011年から開始されたが、現在は終了している,東大の入試を突破することを目標とした人工知能である,読解問題を解くことはできたが、知識問題は解けなかった,多くの私立学校に合格するレベルまで到達した,3,"選択肢3が正解です。
東ロボくんは、知識問題を解くことはできましたが、内容を理解しているわけではないので、読解力に問題がありました。そのため、「読解問題を解くことはできたが、知識問題は解けなかった」は間違いです。

選択肢1：正しい説明です。東ロボくんのプロジェクトは2011年から開始されましたが、現在は終了しています。終了した年は2016年です。
選択肢2：正しい説明です。東ロボくんは、東大の入試を突破することを目標とした人工知能です。
選択肢4：正しい説明です。東ロボくんは、多くの私立学校に合格するレベルまで到達しました。"
23,人工知能をめぐる動向,has-aの関係として、最も適切な選択肢を選択してください。,自転車 has a サドル,人間 has a 哺乳類,タイヤ has a 車,木 has a 森,1,"選択肢1が正解です。
has-aの関係とは、意味ネットワークの重要な関係性の1つで、所有関係を表します。例えば、「自転車 has a サドル」といった関係です。（自転車はサドルを所有している）

選択肢2：人間と哺乳類の関係性は、所有関係ではありません。例えば、「人間は哺乳類を所有している」とはいいません。
選択肢3：タイヤと車の関係性は、所有関係ではありません。例えば、「タイヤは車を所有している」とはいいません。
選択肢4：木と森の関係性は、所有関係ではありません。例えば、「木は森を所有している」とはいいません。"
24,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
2012年、画像認識の精度を競う大会である（ア）で、トロント大学の（イ）が中心となった（ウ）が優勝しました。",REINFORCE,ILSVRC,OpenAI,ローブナーコンテスト,2,"選択肢2が正解です。
ILSVRCとは、ImageNet Large Scale Visual Recognition Challengeの略称で、画像認識の精度を競う大会のことを言います。

選択肢1：REINFORCEとは、アルファ碁などで使用されている方策ベースのアルゴリズムです。
選択肢3：OpenAIは、2015年に設立された人工知能を研究する非営利団体のことです。
選択肢4：ローブナーコンテストとは、会話ソフトフェアの精度を競うコンテストのことを言い、競技の形式はチューリングテスト方式です。"
25,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
2012年、画像認識の精度を競う大会である（ア）で、トロント大学の（イ）が中心となった（ウ）が優勝しました。",ジョン・マッカーシー,ジョン・サール,ジェフリー・ヒントン,テリー・ウィノグラード,3,"選択肢3が正解です。
ジェフリー・ヒントンは、イギリス生まれのコンピュータ科学の学者です。また、彼が率いるSuperVisionは、ILSVRC2012で優勝しました。

選択肢1：ジョン・マッカーシーは、1956年に開催されたダートマス会議で、人工知能という言葉を初めて使った人物です。
選択肢2：ジョン・サールは、アメリカの哲学者で、強いAIと弱いAIや中国語の部屋という思考実験を提案しました。
選択肢4：テリー・ウィノグラードとは、スタンフォード大学の計算機科学者であり、SHRDLUを開発した人物です。"
26,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
2012年、画像認識の精度を競う大会である（ア）で、トロント大学の（イ）が中心となった（ウ）が優勝しました。",SuperVision,ILSVRC,AlexNet,IJCAI,1,"選択肢1が正解です。
SuperVisionとは、トロント大学のジェフリー・ヒントンが中心となったチームのことです。SuperVisionは、ILSVRC2012で優勝しました。

選択肢2：ILSVRCとは、ImageNet Large Scale Visual Recognition Challengeの略称で、画像認識の精度を競う大会のことを言います。
選択肢3：AlexNetとは、2012年に画像認識の精度を競う大会であるILSVRCにて、圧倒的な精度で優勝したモデルのことです。2012年当時は、画像認識には機械学習が用いられており、特徴量は人間が決めていました。一方、AlexNetではディープラーニング技術が採用されていました。
選択肢4：IJCAIとは、AAAIが主催する人工知能分野でトップの学術会議のことです。"
27,人工知能分野の問題,家賃を予測のために使用する特徴量として、不適切な選択肢を選択してください。,貸主の家族構成,駅からの距離,床面積,築年数,1,"選択肢1が正解です。
一般に貸主の家族構成と家賃には関係がありません。そのため、家賃を予測のために使用する特徴量として不適切です。

選択肢2：一般的に駅からの距離と家賃には相関関係があります。そのため、家賃を予測するために、駅からの距離を特徴量として使用することができます。
選択肢3：一般的に床面積と家賃には相関関係があります。そのため、家賃を予測するために、床面積を特徴量として使用することができます。
選択肢4：一般的に築年数と家賃には相関関係があります。そのため、家賃を予測するために、築年数を特徴量として使用することができます。"
28,人工知能分野の問題,統計的機械翻訳が実務レベルに至らなかった理由としても、最も適切な選択肢を選択してください。,過去に翻訳した情報を全て保有する必要があり、データ量が増加し過ぎてしまったため,人間が保有する一般常識をコンピュータに教えることが困難であるため,出力層から入力層に向けて勾配が緩やかになっていき、入力層付近では実質的に重みが調整できなくなるため,訓練データに適応しすぎた結果、未知のデータに対する推測の精度が下がってしまったため,2,"選択肢2が正解です。
統計的機械翻訳が実務レベルに至らなかった理由の1つに、人間が保有する一般常識をコンピュータに教えることが困難だったことが挙げられます。

選択肢1：統計的機械翻訳が実務レベルに至らなかった理由ではありません。また、統計的機械翻訳が実務レベルに至らなかった理由ではありません。また、統計的機械翻訳は過去に翻訳した情報を全て保有する必要はありません。
選択肢3：統計的機械翻訳が実務レベルに至らなかった理由ではありません。また、選択肢3は誤差逆伝播法の説明です。
選択肢4：統計的機械翻訳が実務レベルに至らなかった理由ではありません。また、選択肢4は過学習の説明です。"
29,人工知能分野の問題,"（ア）に最もよく当てはまる選択肢を選んでください。
アメリカの哲学者である（ア）が論文で発表したAIの分類として、（イ）と（ウ）がある。（イ）は、人間のような思考・判断などをするAIのことで、（ウ）は、特定の問題を解決するAIのことである。また、（ア）は、（ウ）は現実可能でも、（イ）は不可能であることを示すために、中国語の部屋という思考実験を提案した。",ヤン・ルカン,松尾豊,ジョン・サール,クロード・シャノン,3,"選択肢3が正解です。
ジョン・サールは、アメリカの哲学者で、強いAIと弱いAIや中国語の部屋という思考実験を提案しました。

選択肢1：ヤン・ルカンとは、フランス出身の計算機科学者であり、誤差逆伝播法を学習に用いたLeNetと呼ばれるCNNのモデルを発表した人物です。
選択肢2：松尾豊は、日本の工学者で、AI(人工知能)研究の第一人者と言われています。
選択肢4：クロード・シャノンは、アメリカの電気工学者・数学者であり、情報理論の父と呼ばれています。また、ダートマス会議には参加していましたが、人工知能という言葉を初めて使った人物ではありません。"
30,人工知能分野の問題,"（イ）に最もよく当てはまる選択肢を選んでください。
アメリカの哲学者である（ア）が論文で発表したAIの分類として、（イ）と（ウ）がある。（イ）は、人間のような思考・判断などをするAIのことで、（ウ）は、特定の問題を解決するAIのことである。また、（ア）は、（ウ）は現実可能でも、（イ）は不可能であることを示すために、中国語の部屋という思考実験を提案した。",強いAI,弱いAI,XAI,エッジAI,1,"選択肢1が正解です。
強いAIとは、人間と同じような、あるいは人間以上の知能があり、意識を持って行動することができるAIのことです。強いAIは、ジョン・サールが提唱した人工知能に対する分類の1つです。

選択肢2：弱いAIとは、知能を持たず、特定の問題を解決するためのA Iのことを言います。弱いAIは、ジョン・サールが提唱した人工知能に対する分類の1つです。
選択肢3：XAIとは、説明可能なAIのことで、推論した結果などのプロセスを人間が理解できる形で提示してくれるAIのことです。
選択肢4：エッジAIとは、エッジデバイス（インターネットに接続された端末）にAIを搭載したもので、端末で推論などを行います。"
31,人工知能分野の問題,"（ウ）に最もよく当てはまる選択肢を選んでください。
アメリカの哲学者である（ア）が論文で発表したAIの分類として、（イ）と（ウ）がある。（イ）は、人間のような思考・判断などをするAIのことで、（ウ）は、特定の問題を解決するAIのことである。また、（ア）は、（ウ）は現実可能でも、（イ）は不可能であることを示すために、中国語の部屋という思考実験を提案した。",強いAI,弱いAI,XAI,エッジAI,2,"選択肢2が正解です。
弱いAIとは、知能を持たず、特定の問題を解決するためのA Iのことを言います。弱いAIは、ジョン・サールが提唱した人工知能に対する分類の1つです。

選択肢1：強いAIとは、人間と同じような、あるいは人間以上の知能があり、意識を持って行動することができるAIのことです。強いAIは、ジョン・サールが提唱した人工知能に対する分類の1つです。
選択肢3：XAIとは、説明可能なAIのことで、推論した結果などのプロセスを人間が理解できる形で提示してくれるAIのことです。
選択肢4：エッジAIとは、エッジデバイス（インターネットに接続された端末）にAIを搭載したもので、端末で推論などを行います。"
32,人工知能分野の問題,"（ア）に最もよく当てはまる選択肢を選んでください。
機械を用いてある自然言語から異なる自然言語へ翻訳することを（ア）という。",自然言語翻訳,機械翻訳,人工知能翻訳,機械言語翻訳,2,"選択肢2が正解です。
機械翻訳とは、機械を用いてある自然言語から異なる自然言語へ翻訳することです。

選択肢1：「自然言語翻訳」という用語はありません。
選択肢3：「人工知能翻訳」という用語はありません。
選択肢4：「機械言語翻訳」という用語はありません。"
