,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
10,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
コンピュータでボードゲームを解く場合、探索を行うが、その組み合わせの数は天文学的な数字になることがある。そこで、効率の良い探索を行うために（ア）の概念が取り入れられている。また、（ア）を計算するとき、あらかじめ知っている知識を活用することで探索を効率化することができる。なお、あらかじめ知っている知識は、（イ）と呼ばれる。ボードゲームのゲーム戦略としては、自分が手を打つときは自分が有利に、相手が手を打つときは自分が不利になるような手を打つだろうと仮定して戦略を立てる手法である（ウ）が使われている。（ウ）による探索を効率化するために、特定の手（ノード）を切り捨てる（エ）という手法が使われている。",k-means法,カーネル法,Mini-Max法,方策勾配法,3,"選択肢3が正解です。
Mini-Max法とは、自分が手を打つときは自分が有利に、相手が手を打つときは自分が不利になるような手を打つだろうと仮定して戦略を立てる手法のことを言います。

選択肢1：k-means法とは、教師なし学習の1種で、重心を活用し、データをあらかじめ設定したクラスタの数（k個）に分類する手法のことです。
選択肢2：カーネル法とは、分類することが難しいデータを、次元を拡張させることで、分類しやすくさせる手法のことです。次元を拡張させる関数をカーネル関数と言います。また、カーネルトリックと呼ばれるテクニックを用いることで、一般的に高次元データの計算を簡単にすることができます。
選択肢4：方策勾配法とは、エージェントの方策を、パラメータを持った関数と定義し、方策の価値が最大になるようにパラメータを学習させる手法のことを言います。"
11,人工知能をめぐる動向,"（エ）に最もよく当てはまる選択肢を選んでください。
コンピュータでボードゲームを解く場合、探索を行うが、その組み合わせの数は天文学的な数字になることがある。そこで、効率の良い探索を行うために（ア）の概念が取り入れられている。また、（ア）を計算するとき、あらかじめ知っている知識を活用することで探索を効率化することができる。なお、あらかじめ知っている知識は、（イ）と呼ばれる。ボードゲームのゲーム戦略としては、自分が手を打つときは自分が有利に、相手が手を打つときは自分が不利になるような手を打つだろうと仮定して戦略を立てる手法である（ウ）が使われている。（ウ）による探索を効率化するために、特定の手（ノード）を切り捨てる（エ）という手法が使われている。",勾配降下法,ウォード法,正規化,αβ法,4,"選択肢4が正解です。
αβ法とは、Mini-Max法による探索を効率化するために、特定の手（ノード）を切り捨て、探索する量を減らす手法のことを言います。

選択肢1：勾配降下法とは、勾配が最小となるパラメータの組み合わせを見つけ出すためのアルゴリズムのことをいいます。基本的に、繰り返し計算を行い、最適なパラメータの組み合わせを見つけていくため、時間がかかります。
選択肢2：ウォード法とは、クラスター分析で使用される手法の1つで、最も距離が近い2つのクラスタを結合し、1つのクラスタにまとめるという処理を繰り返し行う手法です。
選択肢3：正規化とは、データを利用しやすくするために、ルールに基づき、データを変形させることを言います。例えば、各特徴量を最大値で割って、各特徴量が0〜1の値になるように変形させる方法などがあります。"
12,人工知能をめぐる動向,自然言語処理の説明として、最も適切な選択肢を選択してください。,Webページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のこと,自然言語の文章を構造化し、まとめたもの,文章の一部を隠して見えない状態で入力し、前後文から隠した文章を予測する処理のこと,自然言語をコンピュータに処理させること,4,"選択肢4が正解です。
自然言語処理とは、人が日常的に使っている言語（自然言語）をコンピュータで処理させる技術のことを言います。

選択肢1：セマンティック・ウェブの説明です。セマンティック・ウェブとは、Webページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のことを言います。
選択肢2：コーパスの説明です。コーパスとは、自然言語の文章を構造化し、まとめたもので、対訳データとも言われています
選択肢3：MLM（Masked Language Model）の説明です。MLM（Masked Language Model）とは、文章の一部を隠して見えない状態で入力し、前後文から隠した文章を予測するタスクのことで、BERTの事前学習で使われる手法です。また、MLM（Masked Language Model）はマスク言語モデルとも呼ばれています。"
13,人工知能をめぐる動向,マイシン（MYCIN）の説明として不適切なものを選択してください。,スタンフォード大学で開発された,エキスパートシステムの1つである,専門医の判断よりも正解率は高かった,1970年代に開発された,3,"選択肢3が正解です。
マイシン（MYCIN）とは、スタンフォード大学で開発されたエキスパートシステムで、感染した細菌を判断するためのルールベースのシステムのことです。また、マイシン（MYCIN）による診断結果は、専門医の診断結果よりも精度は「低かった」ものの、専門ではない医師よりも診断結果の精度は高かったとされています。以上から、選択肢3の説明が最も不適切です。"
14,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
プランニングシステムであるSTRIPSは、（ア）を組み合わせて記述していく。",方策、行動、報酬,前提条件、行動、方策,方策、報酬、結果,前提条件、行動、結果,4,"選択肢4が正解です。
プランニングシステムであるSTRIPSは、（ア：前提条件、行動、結果）を組み合わせて記述していきます。以上から、選択肢4が正解になります。"
15,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
機械学習は、もともと（ア）分野の技術であった。",ロボット工学,パターン認識,アニメーション,経済工学,2,"選択肢2が正解です。
機械学習は、もともと（ア：パターン認識）分野の技術であった。パターン認識とは、画像や音声など様々なデータから一定のパターン・特徴を見つけ識別し、取り出す技術のことを言います。音声認識、顔認識、文字認識などはパターン認識の代表的な例です。

選択肢1：ロボット工学とは、ロボットに関する技術を研究する学問です。
選択肢3：アニメーションとは、動画のことで、複数の静止画により動きを作る技術のことです。
選択肢4：経済工学とは、経済的な課題を数量的な分析によって解決しようとする考え方のことです。"
16,人工知能をめぐる動向,「概念化の明示的・形式的な仕様」と定義される用語として、最も適切な選択肢を選択してください。,赤池情報量規準（AIC）,アノテーション,透明性レポート,オントロジー,4,"選択肢4が正解です。
オントロジーとは、概念を体系化する学問、知識・情報を定義するための仕様などを意味する用語です

選択肢1：赤池情報量規準（AIC）とは、モデルのあてはまり度を表す値のことで、モデルの複雑さと、データとの適合度とのバランスを知るときに使われる指標の1つです。
選択肢2：アノテーションとは、データに対してタグやメタデータなどを付与することをいいます。また、作業は複数人で行うことが多いため、各作業者によってバラツキが出ないようにマニュアルなどを制定することが大切です。
選択肢3：透明性レポートとは、利用者のデータなどをどのように活用しているのか、政府などに情報提供した件数はどれくらいかなどをまとめたレポートのことです。"
17,人工知能をめぐる動向,モラベックのパラドックスの説明として正しい選択肢を選択してください。,高度な推論よりも、1歳児レベルの知恵とスキルを身に付けさせる方がはるかに難しいということ,コンピュータがシンボルを現実世界の意味とどのように結びつけるかという問題のこと,半導体の集積密度は18ヶ月で2倍になるという経験則のこと,特徴量のなどの次元が増えると、データを分析するときの計算量や収集するべきデータ量などが指数関数的に増えてしまうこと,1,"選択肢1が正解です。
モラベックのパラドックスとは、高度な推論よりも、1歳児レベルの知恵とスキルを身に付けさせる方がはるかに難しいということです。

選択肢2：シンボルグラウンディング問題の説明です。シンボルグラウンディング問題とは、コンピュータがシンボル（記号）を現実世界の意味とどのように結びつけるかという問題のことを言います。例えば、人間の場合は、「ウマ」と「縞模様」を知っていれば、「シマウマ」を知らなくても、縞模様をもつウマであることを想像することができます。一方、人工知能は「ウマ」と「縞模様」の用語を学習していても、用語を本質的に理解していないので、両者を結びつけて「シマウマ」を想像することができません。シンボルグラウンディング問題は、認知科学者のスティーブン・ハルナッドにより議論されたものです。
選択肢3：ムーアの法則の説明です。ムーアの法則とは、ゴードン・ムーアが提唱したもので、半導体の集積密度は18ヶ月で2倍になるという経験則のことを言います。
選択肢4：次元の呪いの説明です。次元の呪いとは、特徴量のなどの次元が増えると、データを分析するときの計算量や収集するべきデータ量などが指数関数的に増えてしまう問題のことです。"
18,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
Cycプロジェクトは、約40年間という長期間続いているプロジェクトである。そのため、Cycプロジェクトは（ア）と言われている。",近代版ジャックと豆の木,現代版バベルの塔,近代版モンサンミッシェル,現代版サグラダ・ファミリア,2,"選択肢2が正解です。
Cycプロジェクトは、現代版バベルの塔と呼ばれています。Cycプロジェクトとは、人間が持つ一般常識を全てデータベース化し、人間と同様の推論システムを構築することを目的とするプロジェクトのことです。1984年に開始され、現在でも入力作業は続けられています。

選択肢1：「近代版ジャックと豆の木」という用語はありません。
選択肢3：「近代版モンサンミッシェル」という用語はありません。
選択肢4：「現代版サグラダ・ファミリア」という用語はありません。"
19,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
確率論や統計学を使って、自然言語を処理することを（ア）という。（ア）では、従来のように単語1つ1つを訳していくわけではない。また、多くの（イ）を使用することで、文章を正しく読み取れる確率が上がる。",確率的自然言語処理,数的自然言語処理,統計的自然言語処理,定量的自然言語処理,3,"選択肢3が正解です。
統計的自然言語処理とは、確率論や統計学を駆使し、自然言語を処理する技術のことです。

選択肢1：確率的自然言語処理という用語はありません。
選択肢2：数的自然言語処理という用語はありません。
選択肢4：定量的自然言語処理という用語はありません。"
20,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
確率論や統計学を使って、自然言語を処理することを（ア）という。（ア）では、従来のように単語1つ1つを訳していくわけではない。また、多くの（イ）を使用することで、文章を正しく読み取れる確率が上がる。",コーパス,マージン,擬似相関,ViT,1,"選択肢1が正解です。
コーパスとは、自然言語の文章を構造化し、まとめたもので、対訳データとも言われています

選択肢2：マージンとは、サポートベクターマシン（SVM）における分類する線とデータとの距離のことです。
選択肢3：擬似相関とは、相関関係があるように見えるが、因果関係は存在しない相関のことを言います。
選択肢4：ViT（Vision Transformer）とは、画像認識にトランスフォーマを使用したモデルのことです。また、従来のCNNを使ったモデルよりも性能が高く、計算コストを削減することができるという特徴もあります。"
21,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
自然言語の質問をユーザーから受けつけ、その解答を返すシステムを（ア）という。IBMが開発した（ア）として（イ）がある。（イ）は、蓄積されている大量のデータから最適な回答を見つけ出すシステムであり、IBMは（イ）を人工知能ではなく、（ウ）と表現している。",マルチモーダルAI,サポートベクターマシン（SVM）,Question-Answering,協調フィルタリング,3,"選択肢3が正解です。
Question-Answering（質問応答）とは、自然言語の質問をユーザーから受けつけ、その解答を返すシステムのことを言います。

選択肢1：マルチモーダルAIとは、複数の入力データをもとに処理をするAIのことです。
選択肢2：サポートベクターマシン（SVM）とは、主に分類で使われるアルゴリズムの1つで、教師あり学習モデルの1つです。
選択肢4：協調フィルタリングとは、レコメンデーションで使われる手法の1つで、ある対象者がチェックや購入した商品と、対象者以外がチェックや購入した商品を分析し、対象者に合わせた商品を提示する手法のことを言います。"
22,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
自然言語の質問をユーザーから受けつけ、その解答を返すシステムを（ア）という。IBMが開発した（ア）として（イ）がある。（イ）は、蓄積されている大量のデータから最適な回答を見つけ出すシステムであり、IBMは（イ）を人工知能ではなく、（ウ）と表現している。",ワトソン,東ロボくん,カーネル,ディープ・ブルー,1,"選択肢1が正解です。
ワトソン（Watson）は、IBMが開発した質問応答（Question-Answering）システムで、2011年にアメリカのクイズ番組に出場し、優勝しました。また、ワトソン（Watson）は、蓄積されている大量のデータから最適な回答を見つけ出すシステムであり、質問を理解しているわけではありません。

選択肢2：東ロボくんとは、東大の入試を突破することを目的に作られた人工知能です。しかし、現在の技術では、東大入試を突破することは不可能だと判断されプロジェクトは終了しました。
選択肢3：カーネルとは、畳み込み処理を行うときに使われるフィルタのことで、このフィルタを使い画像の特徴を抽出していきます。
選択肢4：ディープ・ブルーは、IBMが開発したチェス専用の人工知能で、1997年当時の世界チャンピオンに優勝しました。"
23,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
自然言語の質問をユーザーから受けつけ、その解答を返すシステムを（ア）という。IBMが開発した（ア）として（イ）がある。（イ）は、蓄積されている大量のデータから最適な回答を見つけ出すシステムであり、IBMは（イ）を人工知能ではなく、（ウ）と表現している。",拡張現実,拡張知能,仮想現実,複合現実,2,"選択肢2が正解です。
拡張知能とは、人間と技術を組み合わせて、人間が持っている能力を拡張させることを言います。

選択肢1：拡張現実とは、現実世界と仮想世界を重ね合わせて表示する技術のことで、ARとも呼ばれています。
選択肢3：仮想現実とは、コンピュータによって作成された仮想空間を現実であるかのように体験することができる技術のことで、VRとも呼ばれています。
選択肢4：複合現実とは、現実世界と仮想世界をより密接に融合させる技術のことで、MRとも呼ばれています。"
24,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
DENDRALは、1960年代の人工知能に関するプロジェクトのことで、未知の有機化合物を分析し、有機化学の知識を使って特定する世界初の（ア）である。",イライザ,マイシン,Logic Theorist,エキスパートシステム,4,"選択肢4が正解です。
エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。

選択肢1：イライザとは、チャットボット（人工無脳）の元祖となる対話システムです。イライザは、ルールに従って文を返すものでしたが、対話相手が人間だと勘違いする人も存在しました。
選択肢2：マイシン（MYCIN）とは、スタンフォード大学で開発されたエキスパートシステムで、感染した細菌を判断するためのルールベースのシステムのことです。また、マイシン（MYCIN）による診断結果は、専門医の診断結果よりも精度は低かったものの、専門ではない医師よりも診断結果の精度は高かったとされています。
選択肢3：Logic Theorist（ロジック・セオリスト）とは、ダートマス会議にて、ニューウェルとサイモンによってデモストレーションされた初の人工知能プログラムです。"
25,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
ウェブ上にあるデータ分析して有益な情報を抽出する手法を（ア）といい、ビックデータを分析して有益な情報を抽出する手法を（イ）という。",ファインチューニング,ウェブマイニング,線形回帰分析,パノプティックセグメンテーション,2,"選択肢2が正解です。
ウェブマイニングとは、ウェブ上にある膨大なデータを分析して有益な情報を取り出す手法のことです。

選択肢1：ファインチューニングとは、学習済みのモデルの一部と新しく追加したモデルを組み合わせたモデルなどのパラメータを微調整することを言います。
選択肢3：線形回帰分析とは、求めたい変数を1つ以上の変数を使って予測する手法のことです。また、求めたい変数（結果となる変数）を目的変数、説明するための変数（原因となる変数）を説明変数と言います。
選択肢4：パノプティックセグメンテーションとは、セマンティックセグメンテーションとインスタンスセグメンテーションを組み合わせた手法のことです。"
26,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
ウェブ上にあるデータ分析して有益な情報を抽出する手法を（ア）といい、ビックデータを分析して有益な情報を抽出する手法を（イ）という。",データマイニング,バンディットアルゴリズム,ソフトマージン,主成分分析,1,"選択肢1が正解です。
データマイニングとは、膨大なデータ（ビッグデータ）を分析して、有益な情報を抽出する手法のことを言います。

選択肢2：バンディットアルゴリズムとは、バンディットアルゴリズムとは、強化学習分野の場合、活用と探索のバランスをどのように最適化するかを意味する用語です。
選択肢3：ソフトマージンとは、誤分類を許容しながらマージンの最大化を行うことです。
選択肢4：主成分分析（PCA）とは、相関関係のある変数をまとめてより少ない変数に要約する分析手法のことを言います。また、データを要約することを次元削減と言い、まとめられた変数を主成分と言います。"
