,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
10,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
データ構造の1つに（ア）がある。（ア）は、1つのノードが複数の子のノードを持つといった形であり、枝分かれするようなデータ構造になっている。（ア）を活用することで、迷路や3本の杭と中央に穴の空いた複数の円盤から構成され、ルールに基づき円板を移動させていく（イ）などを解くことができる。また、（ア）において必要な情報を見つけるための探索方法として、（ウ）と（エ）がある。（ウ）は、初期のノードから見て近いノードから探索を行う手法で、最短経路を見つけ出すことができるが、探索した情報を全て記録するためメモリが必要になるという特徴がある。一方、（エ）は、記録するメモリは少なくて済むが、遠回りになる可能性があり、最短経路になるとは限らないという特徴がある。",検索木,探索木,ネットワーク構造,ランダムフォレスト,2,"選択肢2が正解です。
探索木とは、データ構造の1つで、1つのノードが複数の子のノードを持つといった形で、枝分かれするようなデータ構造になっています。探索木を活用することで、迷路やハノイの塔など簡単な問題を解くことができます。

選択肢1：「検索木」という用語は存在しません。
選択肢3：ネットワーク構造とは、1つのノードが複数の子のノードを持ち、1つのノードが複数の親のノードを持つ構造のことです。子は複数の親を持たないと問題文に書かれているので、ネットワーク構造は最適な選択肢ではありません。
選択肢4：ランダムフォレストとは、ランダムに選ばれた訓練データで学習した決定木を複数作成し、決定木で予測された結果の多数決でモデル全体の最終的な出力を決定する手法のことです。分類では多数決でモデル全体の最終的な出力を決定しますが、回帰の場合は多数決ではなく各決定木が予測した結果の平均値をモデル全体の最終的な出力とします。"
11,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
データ構造の1つに（ア）がある。（ア）は、1つのノードが複数の子のノードを持つといった形であり、枝分かれするようなデータ構造になっている。（ア）を活用することで、迷路や3本の杭と中央に穴の空いた複数の円盤から構成され、ルールに基づき円板を移動させていく（イ）などを解くことができる。また、（ア）において必要な情報を見つけるための探索方法として、（ウ）と（エ）がある。（ウ）は、初期のノードから見て近いノードから探索を行う手法で、最短経路を見つけ出すことができるが、探索した情報を全て記録するためメモリが必要になるという特徴がある。一方、（エ）は、記録するメモリは少なくて済むが、遠回りになる可能性があり、最短経路になるとは限らないという特徴がある。",Logic Theorist,チューリングテスト,ハノイの塔,Alpha Go,3,"選択肢3が正解です。
ハノイの塔とは、3本の杭と中央に穴の空いた複数の円盤から構成され、ルールに基づき円板を移動させていくゲームのことです。

選択肢1：Logic Theorist（ロジック・セオリスト）とは、ダートマス会議にて、ニューウェルとサイモンによってデモストレーションされた初の人工知能プログラムです。
選択肢2：チューリングテストとは、アラン・チューリングが提唱したもので、機械が人間的かどうかを判定するためのテストのことです。テスト内容は、審査員がコンピュータを通して人工知能と話しているか、人間と話しているかを当てるというものです。
選択肢4：Alpha Goは、Deep Mind社が開発した囲碁専用の人工知能であり、囲碁のプロ棋士に勝利しました。Alpha Goは、ディープラーニングの技術を使用し、人間の思考方法を実現しました。また、モンテカルロ木探索や深層強化学習などの技術も使われています。"
12,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
データ構造の1つに（ア）がある。（ア）は、1つのノードが複数の子のノードを持つといった形であり、枝分かれするようなデータ構造になっている。（ア）を活用することで、迷路や3本の杭と中央に穴の空いた複数の円盤から構成され、ルールに基づき円板を移動させていく（イ）などを解くことができる。また、（ア）において必要な情報を見つけるための探索方法として、（ウ）と（エ）がある。（ウ）は、初期のノードから見て近いノードから探索を行う手法で、最短経路を見つけ出すことができるが、探索した情報を全て記録するためメモリが必要になるという特徴がある。一方、（エ）は、記録するメモリは少なくて済むが、遠回りになる可能性があり、最短経路になるとは限らないという特徴がある。",幅優先探索,深さ優先探索,モンテカルロ法,最小二乗法,1,"選択肢1が正解です。
幅優先探索とは、初期のノードから見て近いノードから探索を行う方法で、最短経路を見つけ出すことができます。しかし、探索した情報を全て記録するためメモリが必要になるというデメリットがあります。

選択肢2：深さ優先探索とは、あるノードから行き止まりになるまで探索を行い、行き止まりになったら1つ手前のノードまで戻り、また行き止まりになるまで探索を行う方法です。遠回りする可能性があり、最短経路になるとは限りませんが、記憶するものが少なくメモリが少なくて済むというメリットがあります。
選択肢3：モンテカルロ法とは、何度もシミュレーションを行ったり、乱数を使用したりして、近似的な答えを導き出す手法のことです。
選択肢4：最小二乗法とは、実際の値と予測値との差の2乗和が最小になるような、最ももっともらしい関数（重み）を求める手法のことを言います。"
13,人工知能をめぐる動向,"（エ）に最もよく当てはまる選択肢を選んでください。
データ構造の1つに（ア）がある。（ア）は、1つのノードが複数の子のノードを持つといった形であり、枝分かれするようなデータ構造になっている。（ア）を活用することで、迷路や3本の杭と中央に穴の空いた複数の円盤から構成され、ルールに基づき円板を移動させていく（イ）などを解くことができる。また、（ア）において必要な情報を見つけるための探索方法として、（ウ）と（エ）がある。（ウ）は、初期のノードから見て近いノードから探索を行う手法で、最短経路を見つけ出すことができるが、探索した情報を全て記録するためメモリが必要になるという特徴がある。一方、（エ）は、記録するメモリは少なくて済むが、遠回りになる可能性があり、最短経路になるとは限らないという特徴がある。",幅優先探索,深さ優先探索,モーメンタム法,誤差逆伝播法,2,"選択肢2が正解です。
深さ優先探索とは、あるノードから行き止まりになるまで探索を行い、行き止まりになったら1つ手前のノードまで戻り、また行き止まりになるまで探索を行う方法です。遠回りする可能性があり、最短経路になるとは限りませんが、記憶するものが少なくメモリが少なくて済むというメリットがあります。

選択肢1：幅優先探索とは、初期のノードから見て近いノードから探索を行う方法で、最短経路を見つけ出すことができます。しかし、探索した情報を全て記録するためメモリが必要になるというデメリットがあります。
選択肢3：モーメンタム法とは、鞍点問題に対応するために考えられた手法で、慣性の考え方を取り入れ、前回の更新量を、現在の更新量に反映させ、学習の停滞を防ぐ手法のことです。
選択肢4：誤差逆伝播法とは、出力層から入力層にかけて重みを調整していく手法のことです。"
14,人工知能をめぐる動向,ヒューリスティックな知識の説明として最も適切な選択肢を選択してください。,多くの人にまだ知らない重要度の高い知識のこと,AIによって導き出された人間が理解できない知識のこと,経験などであらかじめ知っている知識のこと,AIによって体系化された人間が理解できる知識のこと,3,"選択肢3が正解です。
経験などであらかじめ知っている知識のことを、ヒューリスティックな知識といいます。

選択肢1：多くの人がまだ知らない重要度の高い知識は、ヒューリスティックな知識ではありません。
選択肢2：AIによって導き出された人間が理解できない知識は、ヒューリスティックな知識ではありません。
選択肢4：AIによって体系化された人間が理解できる知識は、ヒューリスティックな知識ではありません。"
15,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
あらかじめ質問に対する回答などが設定されており、入力されたキーワードをもとに機械的に質問に回答するプログラムを（ア）という。（ア）の歴史として、1964年（ア）の元祖となる（イ）が開発された。（イ）はルールに従って文を返すプログラムだったが、人間とやりとりをしているように感じる人も存在した。以上のように、コンピュータとのやりとりを、人間とやりとりしているように錯覚する現象を（ウ）という。",人工無脳,インタビューシステム,Web API,トピックモデル,1,"選択肢1が正解です。
人工無脳とは、チャットボットなどと呼ばれるプログラムのことをいいます。あらかじめ質問に対する回答などが設定されており、入力されたキーワードをもとに機械的に質問に回答するプログラムです。

選択肢2：インタビューシステムとは、インタビュー形式でヒアリングを行うことです。インタビューを受ける側の暗黙知・経験則を含む知識を、いかに聞き出すのかも重要なポイントになります。
選択肢3：Web APIとは、HTTP・HTTPS通信によってやりとりするAPIのことを言います。また、APIとは、機能を外部から使うための仕組みのことです。
選択肢4：トピックモデルとは、クラスタリングで使用されるモデルの1つで、文章などを複数のクラスタに分類していくモデルのことです。"
16,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
あらかじめ質問に対する回答などが設定されており、入力されたキーワードをもとに機械的に質問に回答するプログラムを（ア）という。（ア）の歴史として、1964年（ア）の元祖となる（イ）が開発された。（イ）はルールに従って文を返すプログラムだったが、人間とやりとりをしているように感じる人も存在した。以上のように、コンピュータとのやりとりを、人間とやりとりしているように錯覚する現象を（ウ）という。",DQN,Adam,ELIZA,ELMo,3,"選択肢3が正解です。
ELIZA（イライザ）とは、チャットボット（人工無脳）の元祖となる対話システムです。イライザは、ルールに従って文を返すものでしたが、対話相手が人間だと勘違いする人も存在しました。

選択肢1：DQNとは、強化学習の1つであるQ学習に畳み込みニューラルネットワークを組み込んだものです。
選択肢2：Adamとは、RMSpropにモーメンタム法を取り入れたアルゴリズムで、局所最適化やプラトーなどを避け、学習の効率を上げることができます。　
選択肢4：ELMoとは、word2vecを改良したモデルで、双方向リカレントニューラルネットワークを活用しており、複数の意味を持つ単語でも前後文から適切な意味を推測することが可能です。"
17,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
あらかじめ質問に対する回答などが設定されており、入力されたキーワードをもとに機械的に質問に回答するプログラムを（ア）という。（ア）の歴史として、1964年（ア）の元祖となる（イ）が開発された。（イ）はルールに従って文を返すプログラムだったが、人間とやりとりをしているように感じる人も存在した。以上のように、コンピュータとのやりとりを、人間とやりとりしているように錯覚する現象を（ウ）という。",AI効果,イライザ（ELIZA）効果,局所表現,FAT,2,"選択肢2が正解です。
イライザ（ELIZA）効果とは、意識的にはわかっていても、無意識的にコンピュータの動作が人間と似ていると感じてしまう現象のことを言います。

選択肢1：AI効果とは、人工知能が何か新しいことを実現してしまうと、「それはただの自動化であって人工知能ではない」と考えようとする心理効果のことです。例えば、「掃除ロボットは凄いけど、あくまで自動化であって、人工知能ではないよね」と考えてしまう心理効果が、AI効果になります。
選択肢3：局所表現とは、1つの概念をワンホットベクトル（1つの値が1、他の値が0になっているベクトル）で表すような表現方法のことを言います。
選択肢4：FATとは、Fairness（公平性）、Accountability（説明責任）、Transparency（透明性）の頭文字をとった用語です。"
18,人工知能をめぐる動向,近年、ディープラーニングは脚光を浴びるようになったが、ディープラーニングにとって追い風になった事柄として不適切な選択肢を選択してください。,ハードウェアの性能向上,インターネットの普及,シンギュラリティの到来,モデル自体の精度の向上,3,"選択肢3が正解です。
シンギュラリティ（技術的特異点）は、2045年ごろであり、まだ到達していません。

選択肢1：ハードウェアの性能向上は、ディープラーニングにとって、追い風になっています。
選択肢2：インターネットが普及したことで、web上のデータ量が増えました。これはディープラーニングにとって追い風になっています。
選択肢4：モデル自体の精度が向上したことで、今まで解決できなかったものが解決されるようになり、多くの企業がディープラーニングの開発や活用を本格的に始めました。その結果、ディープラーニングの進歩は、より加速しています。"
19,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください
is-aの関係は、（ア）の関係を表している。また、その関係には（イ）が存在している。",部分と全体,上位概念と下位概念,共有と所有,単語と用例,2,"選択肢2が正解です。
is-aの関係は、「上位概念と下位概念」です。そのため、選択肢2が正解になります。

選択肢1：部分と全体は、「part-ofの関係」です。
選択肢3：共有と所有の関係はありません。
選択肢4：単語と用例の関係はありません。"
20,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
is-aの関係は、（ア）の関係を表している。また、その関係には（イ）が存在している。",方策,推移律,ブルートフォース,ドメインランダマイゼーション,2,"選択肢2が正解です。
推移律とは、AとBに関係が成り立ち、BとCに関係が成り立つとき、AとCにも関係が成り立つことをいいます。

選択肢1：方策とは、エージェントの行動基準のことを言います。方策には、ε-greedy方策やUCB方策などがあります。
選択肢3：ブルートフォースとは、総当たり攻撃、力ずくという意味です。また、全パターンを調べて最適な手を見つけ出すモンテカルロ法はブルートフォースで押し切る方法になります。
選択肢4：ドメインランダマイゼーションとは、シミュレータの設定をランダムに変更することで、シュミレータと現実世界のギャップを小さくし、シミュレータから実世界へ移行させたときのモデルの精度低下を防ごうとする手法のことです。"
21,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
インターネットの普及により、webにデータが増加したことは、機械学習にとって追い風になっている。様々な形式の大量のデータのことを（ア）といい、（ア）をより活用していくことがビジネスでは重要視されている。（ア）の活用例として、（イ）や（ウ）などがある。（イ）は、ユーザーが興味がありそうなものを提案するシステムのことで、AmazonやYouTubeなどで使用されている。（ウ）は、迷惑メールを見つけ出すシステムである。",ビッグデータ,データリーケージ,メタデータ,保有個人データ,1,"選択肢1が正解です。
ビッグデータとは、様々な形式の大量のデータのことです。一般的に、ビッグデータは、量・速度・多様性の特性を持っています。

選択肢2：データリーケージとは、訓練データ・検証データにテストデータにすべき未知のデータ（本来得られるはずのないデータ）が入ってしまうことを言います。
選択肢3：メタデータとは、データの情報が記述されたデータのことを言います。例えば、「太宰治」に対して「著者」というデータを付与されている場合、「著者」がメタデータになります。
選択肢4：保有個人データとは、個人情報取扱事業者に開示・修正・追加・削除などの権限がある個人データのことです。"
22,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
インターネットの普及により、webにデータが増加したことは、機械学習にとって追い風になっている。様々な形式の大量のデータのことを（ア）といい、（ア）をより活用していくことがビジネスでは重要視されている。（ア）の活用例として、（イ）や（ウ）などがある。（イ）は、ユーザーが興味がありそうなものを提案するシステムのことで、AmazonやYouTubeなどで使用されている。（ウ）は、迷惑メールを見つけ出すシステムである。",エキスパートシステム,レコメンデーションシステム,クラスタリング,エポック,2,"選択肢2が正解です。
レコメンデーションシステムとは、ユーザーの興味があるものを学習し、興味がありそうな情報を提案するシステムのことです。

選択肢1：エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。
選択肢3：クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。
選択肢4：エポックとは、学習に訓練データを何回繰り返し使ったかを表す用語です。"
23,人工知能をめぐる動向,"（ウ）に最もよく当てはまる選択肢を選んでください。
インターネットの普及により、webにデータが増加したことは、機械学習にとって追い風になっている。様々な形式の大量のデータのことを（ア）といい、（ア）をより活用していくことがビジネスでは重要視されている。（ア）の活用例として、（イ）や（ウ）などがある。（イ）は、ユーザーが興味がありそうなものを提案するシステムのことで、AmazonやYouTubeなどで使用されている。（ウ）は、迷惑メールを見つけ出すシステムである。",データ拡張,TF-IDF,セマンティックセグメンテーション,スパムフィルタ,4,"選択肢4が正解です。
スパムフィルタとは、スパムメール（迷惑メール）であるかどうかを判断するアルゴリズムのことを言います。

選択肢1：データ拡張とは、既存データから様々な加工等を行い、データのバリエーションを増やす手法のことを言い、データの水増しなどとも言われています。
選択肢2：TF-IDFとは、文章における単語の重要度を計算する方法の1つで、単語の出現頻度（TF：Term Frequency）と文章に含まれている単語がどれだけ珍しいか（IDF：Inverse Document Frequency）を数値化したものを掛け合わせて計算をしていきます。
選択肢3：セマンティックセグメンテーションとは、対象となる画像の全てのピクセルにクラスのラベル付けを行う手法です。同一クラスの場合は個々の物体を区別せずに、ひとまとまりの物体として識別を行うという特徴があります。"
24,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
オントロジーは、大きく分けて（ア）と（イ）に分けることができる。（ア）はAIが自動的に情報の関係性を見つけ知識を体系化しようとする考え方であり、（イ）は人間が知識の概念を考えて知識を体系化しようとする考え方である。",スモールウェイト・オントロジー,ライトウェイト・オントロジー,ビッグウェイト・オントロジー,ヘビーウェイト・オントロジー,2,"選択肢2が正解です。
ライトウェイト・オントロジーとは、AIが自動的に情報の関係性を見つけ、知識を体系化しようとする考え方のことです。

選択肢1：スモールウェイト・オントロジーという用語はありません。
選択肢3：ビッグウェイト・オントロジーという用語はありません。
選択肢4：ヘビーウェイトオントロジーとは、人間が知識を記述していき、知識を体系化しようとする考え方のことです。"
